RENTAL_ZONE_HAL_ID;"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";POI_LONG_DISTANCE_TRAINS_X;POI_SUBURBAN_TRAINS_X;POI_UNDERGROUND_X;"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";ACTIVE_X;"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
62970;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7115 Leonhardsplatz";"7115";"";"Call a Bike";"";1;"J";"9,180570000000000";"48,773700000000000"
62971;"Standort";"Bürgerzentrum West";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7300 Bebelstraße";"7300";"";"Call a Bike";"";1;"J";"9,155280000000000";"48,775200000000000"
62974;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7335 Johannesstraße";"7335";"";"Call a Bike";"";1;"J";"9,159070000000000";"48,780700000000000"
62975;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7320 Breitscheidstraße";"7320";"";"Call a Bike";"";1;"J";"9,167510000000000";"48,779000000000000"
62977;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7128 Theodor-Heuss-Straße";"7128";"";"Call a Bike";"";1;"J";"9,173870000000000";"48,777300000000000"
62979;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7030 Theodor-Heuss-Straße";"7030";"";"Call a Bike";"";1;"J";"9,176801013209722";"48,779565391298640"
62980;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7035 Kleiner Schloßplatz";"7035";"";"Call a Bike";"";1;"J";"9,176210000000000";"48,778100000000000"
62982;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7060 Landesbibliothek";"7060";"";"Call a Bike";"";1;"J";"9,185650000000000";"48,777000000000000"
62983;"Standort";"/";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7020 Universität";"7020";"";"Call a Bike";"";1;"J";"9,175390000000000";"48,782400000000000"
62985;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7016 Königstraße";"7016";"";"Call a Bike";"";1;"J";"9,180290000000000";"48,781907000000000"
62990;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7010 Königstraße";"7010";"";"Call a Bike";"";1;"J";"9,181890000000000";"48,782572000000000"
62991;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7065 Jugendherberge";"7065";"";"Call a Bike";"";1;"J";"9,191205816724203";"48,780068408444826"
62992;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7070 Neckartor";"7070";"";"Call a Bike";"";1;"J";"9,190710000000000";"48,786500000000000"
62995;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7530 Mineralbäder";"7530";"";"Call a Bike";"";1;"J";"9,205890000000000";"48,796500000000000"
62996;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7610 Wilhelmsplatz";"7610";"";"Call a Bike";"";1;"J";"9,215790000000000";"48,802500000000000"
62997;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7600 Bad Cannstatt Bahnhof";"76003";"";"Call a Bike";"";1;"J";"9,218300000000000";"48,801700000000000"
62999;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7635 Mercedes-Benz-Museum";"7635";"";"Call a Bike";"";1;"J";"9,235380000000000";"48,788900000000000"
63000;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7525 Ostendplatz";"7525";"";"Call a Bike";"";1;"J";"9,207989005727760";"48,785880294084670"
65922;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S+U-Bhf. Jannowitzbrücke";"1167";"";"Call a Bike";"";1;"J";"13,417584300000000";"52,515424330000000"
69791;"Standort";"";"bsc";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7999 - EnBW Test-Terminal";"7999";"";"Call a Bike";"";1;"J";;
91081;"Standort";"BSC Nahfunk CaB 2.0";"bsc";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"BSC Nahfunk CaB 2.0";"7995";"";"Call a Bike";"";1;"J";;
